hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458000.84253,bc,V,13.537,0.02189,14.764,0.297
2457995.81258,bc,V,13.525,0.02188,14.926,0.3
2457975.00398,bc,V,13.499,0.02186,15.291,0.307
2458002.81238,bc,V,13.495,0.02186,15.341,0.308
2457969.83836,bc,V,13.569,0.02193,14.336,0.289
2457911.03691,bc,V,13.485,0.02185,15.485,0.311
2457297.72821,bc,V,13.541,0.02189,14.71,0.296
2457213.02907,bc,V,13.781,0.02258,11.789,0.245
2458023.85887,bc,V,13.514,0.02187,15.084,0.303
2457463.1505,bc,V,13.508,0.02186,15.167,0.305
2458253.02622,bc,V,13.503,0.02186,15.233,0.306
2457845.12321,bc,V,13.505,0.02186,15.206,0.306
2457484.10518,bc,V,13.508,0.02186,15.159,0.305
2457102.14607,bc,V,13.547,0.0219,14.628,0.295
2458259.04417,bc,V,13.504,0.02186,15.214,0.306
2457542.08098,bc,V,13.51,0.02186,15.129,0.304
2457527.98852,bc,V,13.535,0.02189,14.784,0.298
2457319.78079,bc,V,13.586,0.02196,14.104,0.285
2458251.99886,bc,V,13.506,0.02186,15.193,0.306
2457894.03433,bc,V,13.503,0.02186,15.224,0.306
2457690.78625,bc,V,13.534,0.02189,14.804,0.298
2457511.07961,bc,V,13.526,0.02188,14.908,0.3
2457612.97519,bc,V,13.49,0.02185,15.419,0.31
2457610.82813,bc,V,13.584,0.02196,14.138,0.286
2457490.08782,bc,V,13.506,0.02186,15.193,0.306
2457178.04269,bc,V,13.503,0.02186,15.23,0.306
2457955.8568,bc,V,13.499,0.02186,15.283,0.307
2457687.79897,bc,V,13.502,0.02186,15.246,0.307
2457327.76952,bc,V,13.566,0.02193,14.371,0.29
2457884.01093,bc,V,13.536,0.02189,14.775,0.298
2457275.72689,bc,V,13.529,0.02188,14.87,0.299
2457466.13978,bc,V,13.531,0.02188,14.842,0.299
2457942.93984,bc,V,13.529,0.02188,14.866,0.299
2457156.04021,bc,V,13.57,0.02193,14.319,0.289
2457701.73284,bc,V,13.51,0.02186,15.132,0.304
2457467.13614,bc,V,13.494,0.02185,15.351,0.309
2457249.00765,bc,V,13.534,0.02189,14.802,0.298
2457608.01543,bc,V,13.518,0.02187,15.015,0.302
2458269.96037,bc,V,13.485,0.02185,15.484,0.311
2457464.14875,bc,V,13.52,0.02187,14.987,0.302
2457245.82987,bc,V,13.541,0.02189,14.703,0.296
2457859.11704,bc,V,13.52,0.02187,14.99,0.302
2457613.77789,bc,V,13.537,0.02189,14.758,0.297
2457242.87211,bc,V,13.539,0.02189,14.728,0.297
2458342.89926,bc,V,13.505,0.02186,15.205,0.306
2457111.13395,bc,V,13.557,0.02191,14.494,0.292
2457333.76352,bc,V,13.522,0.02187,14.972,0.301
2457853.09537,bc,V,13.519,0.02187,15.007,0.302
2457303.85113,bc,V,13.534,0.02189,14.801,0.298
2458077.71922,bc,V,13.538,0.02189,14.75,0.297
2458028.82908,bc,V,13.491,0.02185,15.397,0.31
2457626.96453,bc,V,13.52,0.02187,15.0,0.302
2458208.12965,bc,V,13.494,0.02185,15.361,0.309
2458361.89599,bc,V,13.515,0.02187,15.064,0.303
2457870.08129,bc,V,13.51,0.02186,15.133,0.304
2457538.00373,bc,V,13.711,0.02229,12.574,0.258
2457848.11234,bc,V,13.512,0.02187,15.099,0.304
2457587.9995,bc,V,13.539,0.02189,14.74,0.297
2457201.8849,bc,V,13.655,0.02212,13.242,0.269
2457670.8081,bc,V,13.516,0.02187,15.056,0.303
2458369.93154,bc,V,13.513,0.02187,15.095,0.304
2457167.00939,bc,V,13.536,0.02189,14.768,0.297
2457296.87163,bc,V,13.957,0.02359,10.028,0.218
2457182.05908,bc,V,13.538,0.02189,14.751,0.297
2458036.76974,bc,V,13.528,0.02188,14.884,0.3
2457939.85585,bc,V,13.476,0.02185,15.619,0.314
2457658.78098,bc,V,13.549,0.0219,14.605,0.294
2457164.06543,bc,V,13.503,0.02186,15.224,0.306
2457987.98756,bc,V,13.532,0.02188,14.827,0.299
2457880.0328,bc,V,13.546,0.0219,14.639,0.295
2457656.88989,bc,V,13.524,0.02188,14.942,0.301
2457311.78089,bc,V,13.521,0.02187,14.984,0.302
2458018.76977,bc,V,13.519,0.02187,15.004,0.302
2457323.79078,bc,V,13.53,0.02188,14.859,0.299
2457307.80788,bc,V,13.565,0.02193,14.382,0.29
2457522.0046,bc,V,13.547,0.0219,14.624,0.295
2457504.10869,bc,V,13.551,0.02191,14.578,0.294
2457899.04414,bc,V,13.494,0.02185,15.352,0.309
2457277.93018,bc,V,13.517,0.02187,15.037,0.303
2457255.9525,bc,V,13.503,0.02186,15.224,0.306
2457499.06422,bc,V,14.05,0.02431,9.204,0.206
2457241.03166,bc,V,13.933,0.02343,10.249,0.221
2458347.84322,bc,V,13.518,0.02187,15.021,0.302
2457625.97561,bc,V,13.507,0.02186,15.179,0.305
2458367.93285,bc,V,13.557,0.02191,14.493,0.292
